label,solr_schema_name,field_definition,placeholder_text,data_entry_hint,test_fixture_example,field_type,required,repeatable,controlled_vocabulary,js_behaviors,html_attributes,display_only_on_persisted,import_deliminated,import_transformation_method,export_transformation_method,index_transformation_method,validation_method
Title,dct_title_s,https://opengeometadata.org/docs/ogm-aardvark/title,,"Theme: city, state, temporal coverage",title,string,TRUE,FALSE,,,,FALSE,FALSE,,,,presence
Alternative Title,dct_alternative_sm,https://opengeometadata.org/docs/ogm-aardvark/alternative-title,,,alternative-title1|alternative-title2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Description,dct_description_sm,https://opengeometadata.org/docs/ogm-aardvark/description,,,description1|description2,text,FALSE,TRUE,,,,FALSE,TRUE,,,,
Language,dct_language_sm,https://opengeometadata.org/docs/ogm-aardvark/language,,,language1|language2,string,FALSE,TRUE,languages,autocomplete,,FALSE,TRUE,,,,
B1G Language,b1g_language_sm,https://geobtaa.github.io/metadata/b1g-custom-elements.html#language-string,,,b1g_language1|b1g_language2,string,FALSE,TRUE,,,,FALSE,TRUE,,,iso_language_mapping,
Creator,dct_creator_sm,https://opengeometadata.org/docs/ogm-aardvark/creator,,,creator1|creator2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Publisher,dct_publisher_sm,https://opengeometadata.org/docs/ogm-aardvark/publisher,,,publisher1|publisher2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Provider,schema_provider_s,https://opengeometadata.org/docs/ogm-aardvark/provider,,,Provider,string,FALSE,FALSE,,,,FALSE,FALSE,,,,
Resource Class,gbl_resourceClass_sm,https://opengeometadata.org/docs/ogm-aardvark/resource-class,,,Geospatial data|Maps,string,TRUE,TRUE,resource_classes,,,FALSE,TRUE,,,,presence
Resource Type,gbl_resourceType_sm,https://opengeometadata.org/docs/ogm-aardvark/resource-type,,,resource-type1|resource-type2,string,FALSE,TRUE,resource_types,autocomplete,,FALSE,TRUE,,,,
Subject,dct_subject_sm,https://opengeometadata.org/docs/ogm-aardvark/subject,,,subject1|subject2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Theme,dcat_theme_sm,https://opengeometadata.org/docs/ogm-aardvark/theme,,,Farming|Biota,string,FALSE,TRUE,themes,,,FALSE,TRUE,,,,
Keyword,dcat_keyword_sm,https://opengeometadata.org/docs/ogm-aardvark/keyword,,,keyword1|keyword2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
