Event Category,Page Title,Total Events,Unique Events,Event Value,Avg. Value
Download,Indiana Roads from INDOT and TIGER Files: Indiana - Big Ten Academic Alliance Geoportal,34,4,0,0.00
Download,"Historic County Boundaries and Total Population: United States, 1880 - Big Ten Academic Alliance Geoportal",7,3,0,0.00
Download,Active Mines in the Danville Coal Member: Indiana - Big Ten Academic Alliance Geoportal,5,2,0,0.00
Download,Airport Locations [Iowa] - Big Ten Academic Alliance Geoportal,5,1,0,0.00
Download,Colleges and Universities: Indiana - Big Ten Academic Alliance Geoportal,5,1,0,0.00
Download,"911 Calls For Service: Detroit, Michigan - Big Ten Academic Alliance Geoportal",4,1,0,0.00
Download,City Boundaries [Iowa] - Big Ten Academic Alliance Geoportal,4,2,0,0.00
Download,"Historic County Boundaries and Total Population: United States, 1940 - Big Ten Academic Alliance Geoportal",4,2,0,0.00
Download,"LiDAR-Derived 2-foot Contours: Grant County, Wisconsin, 2011 - Big Ten Academic Alliance Geoportal",4,2,0,0.00
Download,"Zoning Districts: Stearns County, Minnesota, 2016 - Big Ten Academic Alliance Geoportal",4,1,0,0.00
Download,"03N 12E - Survey Map of Shelby Township, Macomb County: Michigan - Big Ten Academic Alliance Geoportal",3,3,0,0.00
Download,"19N 14W - Survey Map of Sauble Township, Lake County: Michigan - Big Ten Academic Alliance Geoportal",3,1,0,0.00
Download,"36N 19W - Survey Map of Poverty Island and Summer Island, Fairbanks Township, Delta County, Page 2: Michigan - Big Ten Academic Alliance Geoportal",3,1,0,0.00
Download,"Addresses: Brown County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",3,1,0,0.00
Download,"Building Footprints: Cuyahoga County, Ohio, 2016 - Big Ten Academic Alliance Geoportal",3,3,0,0.00
Download,Demographics [Iowa] - Big Ten Academic Alliance Geoportal,3,1,0,0.00
Download,Maryland Road Centerlines - Comprehensive: State of Maryland - Big Ten Academic Alliance Geoportal,3,3,0,0.00
Download,PennPilot (Historical Aerial Photo Library): Pennsylvania - Big Ten Academic Alliance Geoportal,3,3,0,0.00
Download,"07S 01W - Survey Map of Pittsford Township, Hillsdale County: Michigan - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,"42N 30W - Survey Map of Sagola Township, Dickinson County: Michigan - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,"Addresses: Chippewa County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,"Addresses: Florence County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,Cellular Towers: Indiana - Big Ten Academic Alliance Geoportal,2,1,0,0.00
Download,"City and Township Boundaries: Stearns County, Minnesota, 2016 - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,"Current Tax Sale List: City of Baltimore, Maryland - Big Ten Academic Alliance Geoportal",2,2,0,0.00
Download,"Geologic atlas of Dakota County, Minnesota, C-6, Plate 2, Bedrock Geology - Big Ten Academic Alliance Geoportal",2,2,0,0.00
Download,"Historic County Boundaries and Total Population: United States, 1800 - Big Ten Academic Alliance Geoportal",2,2,0,0.00
Download,"Historic County Boundaries and Total Population: United States, 1840 - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,"Homeowners & Civic Groups: Montgomery County, Maryland, 2017 - Big Ten Academic Alliance Geoportal",2,2,0,0.00
Download,Indiana coal mines: located on railroads - Big Ten Academic Alliance Geoportal,2,2,0,0.00
Download,"Kent County Parcel Data: Grand Rapids, Michigan - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,"Map of Switzerland - Thun - Interlaken, 1920 - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,Mile-Markers for System 1 Roads: Indiana - Big Ten Academic Alliance Geoportal,2,1,0,0.00
Download,Remonumented Section Corners: Michigan - Big Ten Academic Alliance Geoportal,2,2,0,0.00
Download,"Tomatoes, Average Yield, 2000 - Big Ten Academic Alliance Geoportal",2,2,0,0.00
Download,"Traffic Analysis Zones, Council of Governments: Prince George's County, Maryland - Big Ten Academic Alliance Geoportal",2,1,0,0.00
Download,Warrick and Spencer counties soil map test - Big Ten Academic Alliance Geoportal,2,1,0,0.00
Download,Well Logs [Illinois] - Big Ten Academic Alliance Geoportal,2,1,0,0.00
Download,"20N 08W - Survey Map of Highland Township, Osceola County: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"24N 16W - Survey Map of Arcadia Township, Manistee County: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"25N 13W - Survey Map of Colfax Township, Benzie County: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"26N 14W - Survey Map of Homestead Township, Benzie County: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"26N 15W - Survey Map of Benzonia Township, Benzie County: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"26N 16W - Survey Map of Lake, Crystal Lake, and Gilmore Townships, Benzie County: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"36N 19W - Survey Map of Poverty Island and Summer Island, Fairbanks Township, Delta County, Page 1: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"47N 03W - Survey Map of Bay Mills Township, Chippewa County, page 1: Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Address Points -Location Based Response System (LBRS): Columbiana County, Ohio - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Address Points: Paulding County, Ohio - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Bayfield County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Burnett County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Clark County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Door County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Dunn County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Forest County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Grant County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Iowa County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Iron County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: La Crosse County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
