Page,Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/catalog/5F3EEF4C-D1EA-4AC8-A2C5-774D21E78D46,Wisconsin Historic Aerial Imagery Finder (Aerial Photos 1937-41) - Big Ten Academic Alliance Geoportal,298,184,00:01:12,181,25.97%,40.27%,$0.00
/catalog/999-0011,"Digital Sanborn Maps (Black & White): All States, 1867-1970 - Big Ten Academic Alliance Geoportal",106,84,00:00:11,0,0.00%,14.15%,$0.00
/catalog/999-0011-michigan,"Digital Sanborn Maps (Black & White): Michigan, 1867-1970 - Big Ten Academic Alliance Geoportal",62,40,00:00:56,39,33.33%,37.10%,$0.00
/catalog/999-0011-california,"Digital Sanborn Maps (Black & White): California, 1867-1970 - Big Ten Academic Alliance Geoportal",58,25,00:00:34,25,20.00%,32.76%,$0.00
/catalog/999-0011-new-jersey,"Digital Sanborn Maps (Black & White): New Jersey, 1867-1970 - Big Ten Academic Alliance Geoportal",57,28,00:00:27,27,33.33%,33.33%,$0.00
/catalog/8888-001,Research Guide to Restricted or Licensed Data - Big Ten Academic Alliance Geoportal,56,49,00:01:04,0,0.00%,32.14%,$0.00
/catalog/999-0010,Fire Insurance Maps Online (FIMo): All States - Big Ten Academic Alliance Geoportal,55,37,00:00:13,0,0.00%,5.45%,$0.00
/catalog/999-0011-massachusetts,"Digital Sanborn Maps (Black & White): Massachusetts, 1867-1970 - Big Ten Academic Alliance Geoportal",53,20,00:00:37,19,21.05%,30.19%,$0.00
/catalog/77f-0001,General Land Office Township Plats - Big Ten Academic Alliance Geoportal,48,13,00:00:25,0,0.00%,6.25%,$0.00
/catalog/999-0011-texas,"Digital Sanborn Maps (Black & White): Texas, 1867-1970 - Big Ten Academic Alliance Geoportal",46,23,00:00:41,23,30.43%,41.30%,$0.00
/catalog/999-0011-illinois,"Digital Sanborn Maps (Black & White): Illinois, 1867-1970 - Big Ten Academic Alliance Geoportal",45,24,00:00:39,24,37.50%,40.00%,$0.00
/catalog/a-b-c-local-government-open-data,State and Local Government Open Geospatial Data Collection - Big Ten Academic Alliance Geoportal,45,17,00:01:48,0,0.00%,0.00%,$0.00
/catalog/5ddadf472d32447d99a49d3d5a5aa2d5_0,"Current Tax Sale List: City of Baltimore, Maryland - Big Ten Academic Alliance Geoportal",43,33,00:02:22,32,68.75%,72.09%,$0.00
/catalog/27fec672702f4bd581a526c7ec183dab_3,Remonumented Section Corners: Michigan - Big Ten Academic Alliance Geoportal,39,22,00:06:22,20,50.00%,53.85%,$0.00
/catalog/D-academic-institutions-geospatial-data,Academic Institutions and Libraries Geospatial Data - Big Ten Academic Alliance Geoportal,38,11,00:01:11,0,0.00%,7.89%,$0.00
/catalog/999-0011-wisconsin,"Digital Sanborn Maps (Black & White): Wisconsin, 1867-1970 - Big Ten Academic Alliance Geoportal",37,16,00:00:32,15,26.67%,27.03%,$0.00
/catalog/999-0011-colorado,"Digital Sanborn Maps (Black & White): Colorado, 1867-1970 - Big Ten Academic Alliance Geoportal",35,16,00:00:17,16,25.00%,28.57%,$0.00
/catalog/999-0011-virginia,"Digital Sanborn Maps (Black & White): Virginia, 1867-1970 - Big Ten Academic Alliance Geoportal",35,20,00:00:36,20,40.00%,37.14%,$0.00
/catalog/999-0011-indiana,"Digital Sanborn Maps (Black & White): Indiana, 1867-1970 - Big Ten Academic Alliance Geoportal",34,15,00:00:59,15,20.00%,20.59%,$0.00
/catalog/999-licensed-resources,Licensed Resources Collection - Big Ten Academic Alliance Geoportal,34,7,00:00:14,0,0.00%,0.00%,$0.00
/catalog/999-0011-alabama,"Digital Sanborn Maps (Black & White): Alabama, 1867-1970 - Big Ten Academic Alliance Geoportal",32,17,00:00:29,16,43.75%,37.50%,$0.00
/catalog/9999-public-health-dashboards,Public Health Dashboards - Big Ten Academic Alliance Geoportal,32,10,00:00:25,0,0.00%,0.00%,$0.00
/catalog/D-academic-institutions-maps,Academic Institutions and Libraries Historical Maps - Big Ten Academic Alliance Geoportal,32,4,00:01:28,0,0.00%,0.00%,$0.00
/catalog/999-0011-iowa,"Digital Sanborn Maps (Black & White): Iowa, 1867-1970 - Big Ten Academic Alliance Geoportal",31,16,00:01:12,16,31.25%,25.81%,$0.00
/catalog/999-0011-connecticut,"Digital Sanborn Maps (Black & White): Connecticut, 1867-1970 - Big Ten Academic Alliance Geoportal",30,12,00:00:20,12,25.00%,33.33%,$0.00
/catalog/999-0011-oklahoma,"Digital Sanborn Maps (Black & White): Oklahoma, 1867-1970 - Big Ten Academic Alliance Geoportal",30,17,00:01:44,16,37.50%,36.67%,$0.00
/catalog/08d-02,"Sanborn Maps: Pennsylvania, 1884-1938 - Big Ten Academic Alliance Geoportal",28,19,00:01:40,15,13.33%,25.00%,$0.00
/catalog/045ea858-52c4-43f2-a7b1-8c3c8da9dd79,"Property Parcels: Prince George's County, Maryland - Big Ten Academic Alliance Geoportal",27,24,00:00:24,24,66.67%,77.78%,$0.00
/catalog/0e83a535-733c-4be6-a96e-cdd95fba3101,Indigenous Lands - Big Ten Academic Alliance Geoportal,27,7,00:00:06,0,0.00%,3.70%,$0.00
/catalog/999-0011-mississippi,"Digital Sanborn Maps (Black & White): Mississippi, 1867-1970 - Big Ten Academic Alliance Geoportal",26,11,00:00:18,11,18.18%,34.62%,$0.00
/catalog/06a-03,General Land Office Township Plats: Michigan - Big Ten Academic Alliance Geoportal,25,17,00:01:13,3,33.33%,36.00%,$0.00
/catalog/f88b67ddbee74ca198392bd76771a71e_1,"Urban Rural Demarcation Line: Baltimore County, Maryland - Big Ten Academic Alliance Geoportal",25,22,00:07:24,22,69.57%,84.00%,$0.00
/catalog/774dfe1412164fe4a6e0fd64b53231ca_0,Snow Plow Camera Images (Iowa DOT) [Iowa] - Big Ten Academic Alliance Geoportal,24,21,00:00:46,21,80.95%,87.50%,$0.00
/catalog/999-0011-ohio,"Digital Sanborn Maps (Black & White): Ohio, 1867-1970 - Big Ten Academic Alliance Geoportal",24,14,00:00:37,14,35.71%,37.50%,$0.00
/catalog/e53d0975504a4695b5a3051b463154d3,"Aerial Imagery: DuPage County, Illinois, 1956 - Big Ten Academic Alliance Geoportal",23,13,00:04:23,13,41.18%,56.52%,$0.00
/catalog/01d-03,Russian Military Topographic Map Collection - Big Ten Academic Alliance Geoportal,22,13,00:00:25,4,75.00%,22.73%,$0.00
/catalog/06b-26005,Allegan County GIS Data Library - Big Ten Academic Alliance Geoportal,22,12,00:00:33,4,100.00%,22.73%,$0.00
/catalog/4595f026-f248-4ba8-9cb7-88177d700125,PennPilot (Historical Aerial Photo Library): Pennsylvania - Big Ten Academic Alliance Geoportal,22,16,00:03:30,15,46.67%,50.00%,$0.00
/catalog/64bd8c4c-8e60-4956-b43d-bdc3f93db488,Libraries Historical Maps Collection - Big Ten Academic Alliance Geoportal,22,9,00:00:28,1,0.00%,4.55%,$0.00
/catalog/999-0010-massachusetts,Fire Insurance Maps Online (FIMo): Massachusetts - Big Ten Academic Alliance Geoportal,21,10,00:00:58,3,0.00%,9.52%,$0.00
/catalog/999-0010-michigan,Fire Insurance Maps Online (FIMo): Michigan - Big Ten Academic Alliance Geoportal,21,16,00:00:41,9,11.11%,23.81%,$0.00
/catalog/ff95ccf0-371a-4796-a051-43b1eedfd439,"Aerial Photography [Iowa County, Wisconsin] {1937} - Big Ten Academic Alliance Geoportal",21,5,00:02:31,0,0.00%,4.76%,$0.00
/catalog/05b-27029,Clearwater County GIS Data Downloads - Big Ten Academic Alliance Geoportal,20,3,00:00:20,0,0.00%,0.00%,$0.00
/catalog/a-b-d-local-government-open-data,State and Local Government Open Geospatial Data - Big Ten Academic Alliance Geoportal,20,11,00:00:42,1,0.00%,5.00%,$0.00
/catalog/1caa354a-c15d-434c-b6d6-bb2e1d28bed1,"Aviation Policy District Outlines: Prince George's County, Maryland - Big Ten Academic Alliance Geoportal",19,9,00:01:58,9,44.44%,47.37%,$0.00
/catalog/39a51eef0c0f4248884802948478411f_0,"Flood Hazard Areas: Stark County, Ohio - Big Ten Academic Alliance Geoportal",19,14,00:00:30,14,0.00%,57.89%,$0.00
/catalog/88cc9b19-3294-4da9-9edd-775c81fb1c59,"Wabash River Topographic Maps: Indiana, 1929 - Big Ten Academic Alliance Geoportal",19,3,00:01:09,1,0.00%,10.53%,$0.00
/catalog/999-0011-louisiana,"Digital Sanborn Maps (Black & White): Louisiana, 1867-1970 - Big Ten Academic Alliance Geoportal",19,12,00:00:28,12,50.00%,47.37%,$0.00
/catalog/999-0011-west-virginia,"Digital Sanborn Maps (Black & White): West Virginia, 1867-1970 - Big Ten Academic Alliance Geoportal",19,11,00:00:33,11,63.64%,47.37%,$0.00
/catalog/dc8c18df-7d64-4ff4-a754-d18d0891187d,Libraries Geospatial Data Collection - Big Ten Academic Alliance Geoportal,19,4,00:00:33,0,0.00%,0.00%,$0.00
/catalog/HCN-Digital-Projects_landgrabu-data,Morrill Act of 1862 Indigenous Land Parcels Database - Big Ten Academic Alliance Geoportal,19,7,00:01:19,1,0.00%,0.00%,$0.00
/catalog/27001-address-points,Address Points [Aitkin County] 2015-2021 - Big Ten Academic Alliance Geoportal,18,2,00:00:48,1,0.00%,5.56%,$0.00
/catalog/999-0011-maryland,"Digital Sanborn Maps (Black & White): Maryland, 1867-1970 - Big Ten Academic Alliance Geoportal",18,8,00:00:25,7,0.00%,11.11%,$0.00
/catalog/efad5e63-adc3-42bb-9893-b41d3e2a79f0,"Aerial Photography [Milwaukee County, Wisconsin] {1937} - Big Ten Academic Alliance Geoportal",18,8,00:01:23,0,0.00%,27.78%,$0.00
/catalog/65fe67d3-75b6-41d2-a26c-27a898ec7bcc,"Aerial Photography [Dane County, Wisconsin] {1937} - Big Ten Academic Alliance Geoportal",17,11,00:01:37,0,0.00%,17.65%,$0.00
/catalog/999-0010-california,Fire Insurance Maps Online (FIMo): California - Big Ten Academic Alliance Geoportal,17,8,00:00:19,3,66.67%,29.41%,$0.00
